stop_id,stop_name,stop_lat,stop_lon,stop_code
187,Guilford Rd @ Gerwig Ln,39.16703881,-76.8387582,187
188,Alberta Gary Memorial Church,39.16441395,-76.83322569,188
189,Guilford Rd @ Oakland Mills Rd,39.16406608,-76.83101218,189
190,Guilford Rd @ Stirling Bridge Dr,39.16146707,-76.82473361,190
191,Entrance to Morningside Park,39.154375,-76.82006667,191
192,Morningside Park,39.15523167,-76.820605,192
193,Vollmerhausen Rd @ Willowwood Way,39.149015,-76.81837333,193
194,Vollmerhausen Rd @ Rosewood Way,39.14867333,-76.82054333,194
196,Savage Guilford Rd @ Lincoln St,39.14047998,-76.82444237,196
206,Washington Blvd @ Freestate DR,39.12744898,-76.8219917,206
207,Washington Blvd @ Lynn Buff Ct,39.12253144,-76.8258549,207
208,Country Meadows Apts,39.11903425,-76.82902717,208
209,US 1 North Laurel,39.11465063,-76.83331005,209
210,Washington Blvd @ Hill St,39.11369664,-76.83431589,210
211,Washington Blvd @ Madison Ave,39.10867993,-76.83882233,211
218,4th St @ Montrose Ave,39.0973783,-76.85637451,218
220,Laurel Lakes Pl @ Cherry Ln,39.09063387,-76.8595706,220
221,Laurel Pl @ Mulberry St,39.08861645,-76.86094232,221
222,Mulberry St @ Yardarm Way,39.08755431,-76.8646927,222
223,Mulberry St @ Briston St,39.08428826,-76.86582624,223
224,Cypress Street @ Mulberry Street,39.08298595,-76.86555772,224
225,Laurel Lakes Senior Housing,39.08135833,-76.86709833,225
226,US 1 @ Braygreen Rd,39.07820839,-76.86639372,226
227,US 1 @ Contee Rd,39.07576445,-76.8689468,227
228,US 1 @ Maryland Cemetery,39.07049419,-76.87488334,228
229,Muirkirk Meadows Rd @ US 1,39.06100824,-76.88740091,229
230,Muirkirk Meadows Rd @ Muirkirk Rd,39.06264018,-76.88904078,230
231,Muirkirk MARC Station,39.06131309,-76.88354646,231
232,FDA Muirkirk Campus,39.05557547,-76.86115678,232
233,Muirkirk Rd @ Montpelier Dr,39.056325,-76.86572667,233
234,Muirkirk RD @ Longwood Dr,39.05898,-76.878525,234
235,Old BaltImore Pike @ Distribution Dr,39.05546986,-76.88515676,235
238,Industrial Drive,39.05118247,-76.8888192,238
239,Old BaltImore Pike @ Ammendale Rd,39.04898641,-76.89066591,239
240,Edmondston Rd @ Old Baltimore Pike,39.04044834,-76.89871,240
241,Edmondston Rd @ Hammett St,39.035665,-76.89857,241
242,Kenilworth Ave @ Crescent Rd,39.00681155,-76.89268694,242
244,College Park/UMD Metrorail Station,38.97814806,-76.92757967,244
245,Kenilworth Ave @ Crescent Rd,39.00699043,-76.89201637,245
246,Edmondston Rd @ Hammett St,39.03565898,-76.89836685,246
247,Edmondston Rd @ Armand Boyd Way,39.04005167,-76.89845833,247
248,Old BaltImore Pike @ Ammendale Way,39.04702167,-76.89204333,248
249,Old BaltImore Pike @ Ammendale Rd,39.04860667,-76.890705,249
250,Industrial Drive,39.05083167,-76.88884333,250
253,Distribution Dr @ Old BaltImore Pike,39.05542054,-76.88501928,253
257,Muirkirk MARC Station,39.06151833,-76.88338167,257
258,Muirkirk Meadows Rd @ Muirkirk Rd,39.06291942,-76.8892543,258
259,Muirkirk Meadows Rd @ US 1,39.061225,-76.88804333,259
260,US 1 @ Maryland Cemetery,39.07077,-76.87429558,260
261,US 1 @ Contee Rd,39.0772848,-76.86689759,261
265,Mulberry St @ Briston St,39.08437667,-76.865555,265
266,Mulberry St @ Yardarm Way,39.08698488,-76.8647054,266
267,Mulberry St @ Laurel Pl,39.0880132,-76.86202904,267
268,Cherry Ln @ 4th St,39.09268463,-76.86363877,268
269,Van Dusen Rd @ Erica Ln,39.09695811,-76.87433475,269
270,Van Dusen Rd @ Alan Ln,39.09925448,-76.8723654,270
271,Old Sandy Spring Rd @ Van Dusen Rd,39.10420737,-76.87005162,271
272,Old Sandy Spring Rd @ West St,39.10483858,-76.86665569,272
273,Old Sandy Spring Rd @ Westview Ter,39.10600946,-76.86364927,273
274,Montgomery St @ 9th St,39.10707952,-76.85853568,274
275,Montgomery St @ 8th St,39.10662362,-76.85682754,275
276,7th St @ Main St,39.10819667,-76.85414667,276
277,Main St @ Brashears St,39.10719555,-76.85087996,277
280,Washington Blvd @ Compton Ave,39.09893959,-76.84908842,280
281,Laurel College Center,39.0971096,-76.85160671,281
282,US 1 @ Muirkirk Meadows Dr,39.06090833,-76.88683833,282
283,US 1 @ Ritz Way,39.05743,-76.89050667,283
284,US 1 @ Ammendale Rd,39.05377057,-76.89429436,284
285,US 1 @ Quimby Ave,39.04715033,-76.90078663,285
286,US 1 @ Lincoln Ave,39.04513998,-76.90216924,286
287,US 1 @ Odell Rd,39.04153418,-76.90423678,287
288,US 1 @ Powdermill Rd,39.0352455,-76.9072275,288
289,US 1 @ Sellman Rd,39.0337193,-76.90919054,289
290,US 1 @ Southard Dr,39.03190501,-76.91182439,290
291,Rhode Island Ave @ US 1,39.02876334,-76.91581,291
292,Sunnyside Ave @ Rhode Island Ave,39.02443161,-76.91508473,292
293,Sunnyside Ave @ Tucker St,39.02310172,-76.90959567,293
294,Cherrywood Ln @ Edmonston Ave,39.01041428,-76.89570393,294
295,Cherrywood Ln @ Ivy Ln,39.01001039,-76.89843291,295
296,Greenbelt Metro Dr Entrance,39.01142768,-76.90435347,296
297,Greenbelt Metrorail Station,39.01200207,-76.90959575,297
298,Greenbelt Metro Dr Exit,39.01139376,-76.90441743,298
299,Cherrywood Ln @ Breezewood Dr,39.00216333,-76.90996333,299
300,Greenbelt Plaza,38.9994144,-76.91177525,300
301,Greenbelt Plaza,38.99963867,-76.91154778,301
302,Cherrywood Ln @ Breezewood Dr,39.00207474,-76.9097219,302
303,Cherrywood Ln @ Cherrywood Ct,39.00495167,-76.907575,303
307,Cherrywood Ln @ Ivy Ln,39.00991039,-76.89840118,307
308,Cherrywood Ln @ Edmonston Ave,39.01041588,-76.89533108,308
309,Sunnyside Ave @ Tucker St,39.02323088,-76.90928163,309
310,Sunnyside Ave @ Rhode Island Ave,39.02453123,-76.91500222,310
311,Rhode Island Ave @ US 1,39.02895333,-76.91552833,311
312,US 1 @ Powdermill Rd,39.03416,-76.90818607,312
314,US 1 @ Ritz Way,39.056645,-76.89095333,314
315,US 1 @ Muirkirk Meadows Dr,39.06096076,-76.8863787,315
317,Arundel Mills Blvd @ Milestone Pkwy,39.15351,-76.74282,317
318,Arundel Mills Blvd @ Rotherham Dr,39.15145307,-76.73393491,318
319,Arundel Mills BLVD @ Arundel Mills Cir,39.15266042,-76.7293297,319
320,Arundel Mills Mall,39.15390334,-76.72461167,320
325,Dorsey Rd @ Hawkins Ln,39.15896854,-76.68995531,325
326,Dorsey Rd @ Old Telegraph Rd,39.15987017,-76.68388301,326
327,Dorsey Rd @ Connelley Dr,39.16076,-76.68121333,327
328,Dorsey Rd @ McCormick Dr,39.16195449,-76.67456312,328
329,Dorsey Rd @ WB&A Rd,39.1625375,-76.6682018,329
330,Dorsey Rd @ Stewart Ave,39.16448604,-76.64721533,330
331,Dorsey Rd @ Pascal Senior Center,39.16819167,-76.63591667,331
332,Cromwell Light Rail Station,39.17196931,-76.63325611,332
333,B&A Blvd @ Maple Ave NW,39.16756105,-76.62757489,333
335,B&A Blvd @ Crain Hwy North,39.16500441,-76.62521339,335
337,B&A Blvd @ Glen Rd,39.15990152,-76.61406408,337
338,B&A Blvd @ Chester Cir,39.15825833,-76.609875,338
339,B&A Blvd @ Marley Neck RD,39.15080013,-76.5946995,339
340,B&A Blvd @ Sumac Rd,39.14721429,-76.59250608,340
341,B&A Blvd @ Phyllis Dr,39.14392358,-76.5905543,341
342,B&A Blvd @ Faywood Ave,39.1409118,-76.58878585,342
343,B&A Blvd @ Castle Harbour Way,39.13735209,-76.58659188,343
344,New Freetown Rd @ Freetown Rd,39.13626654,-76.57758797,344
346,New Freetown Rd @ Freetown Rd,39.1364472,-76.57766475,346
347,Mountain Rd @ Long Hill Rd,39.13367322,-76.58158637,347
348,Westbound B&A BLVD @ Sun Valley Shopping Ctr,39.13552951,-76.58526218,348
349,B&A Blvd @ Faywood Ave,39.140875,-76.58851667,349
350,B&A Blvd @ Marley Station Rd,39.14767656,-76.59262767,350
351,B&A Blvd @ Queen Anne Rd,39.15172757,-76.59526475,351
352,B&A Blvd @ Harding Ave,39.15886038,-76.61095239,352
353,B&A Blvd @ Kuethe Rd,39.16132423,-76.61737328,353
356,B&A Blvd @ Crain Hwy North,39.16554333,-76.62553,356
357,B&A Blvd @ Maple Ave NW,39.16738991,-76.62726092,357
359,Dorsey Rd @ Pascal Senior Center,39.168925,-76.634545,359
360,Dorsey Rd @ Aviation Blvd,39.16460939,-76.6480925,360
361,Dorsey Rd @ WB&A Rd,39.16291624,-76.66687421,361
362,Dorsey Rd @ McCormick Dr,39.16243834,-76.67290833,362
363,Dorsey Rd @ Connelley Dr,39.16116667,-76.68021,363
364,Dorsey Rd @ Old Telegraph Rd,39.16009998,-76.68387895,364
365,Dorsey Rd @ Mulberry Rd,39.15921333,-76.68836,365
370,Arundel Mills Blvd @ Somerton Ct,39.15199956,-76.73344734,370
371,Arundel Mills Blvd @ Flaxpool Ct,39.15058505,-76.73926758,371
372,Arundel Mills Blvd @ Milestone Pkwy,39.15369721,-76.74247077,372
373,Route 198 @ Russett Green East,39.09837074,-76.8071451,373
375,Route 198 @ Whiskey Bottom Rd,39.10055977,-76.81650103,375
376,Route 198 @ Old Line Ave,39.1010979,-76.82131224,376
378,Maryland Live! Casino,39.15947519,-76.72660705,378
383,Ridge Rd @ Stoney Run Rd,39.14858165,-76.7245663,383
385,Ridge Rd @ Bastille Pl,39.14095334,-76.73068095,385
386,Ridge Rd @ Metacomet Rd,39.13653921,-76.73452195,386
387,Ridge Rd @ Christiana Ct,39.1319859,-76.73683084,387
388,Route 175 @ Disney Rd,39.12783195,-76.7356948,388
